dB20(VF("/CSAout")) (multi=1) X,dB20(VF("/CSAout")) (multi=1) Y
11659144011.79832,-56.99112937457393
12589254117.94167,-57.68168976233833
13593563908.78525,-58.32947096296531
14677992676.22069,-58.93527807618448
15848931924.61113,-59.49995281604333
17113283041.6178,-60.02439417915125
18478497974.2229,-60.50958461294309
19952623149.68879,-60.95661701942908
21544346900.31883,-61.36671807564044
23263050671.53625,-61.74126407577768
25118864315.09579,-62.08178669114631
27122725793.32027,-62.38996750861129
29286445646.25235,-62.66762170615088
31622776601.68378,-62.91667251998864
34145488738.336,-63.13911907292309
36869450645.19574,-63.33700057955781
39810717055.34971,-63.51235993068058
42986623470.82275,-63.66720927513646
46415888336.12777,-63.80349959730615
50118723362.7272,-63.92309557353237
54116952654.64634,-64.02775630150794
58434141337.35173,-64.11912191479294
63095734448.01929,-64.19870566147767
68129206905.7961,-64.26789074829664
73564225445.9641,-64.32793111238766
79432823472.42812,-64.37995525313524
85769589859.08937,-64.42497230354022
92611872812.8793,-64.46387961432595
100000000000,-64.49747124025068
